"filename", "language", "JSON", "JSON with Comments", "TypeScript", "YAML", "HTML", "SCSS", "Vue", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\DELL\Desktop\bilibili\src\views\account\setting\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 3, 87
"c:\Users\DELL\Desktop\bilibili\src\views\dynamic\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 1750, 0, 0, 0, 0, 103, 1853
"c:\Users\DELL\Desktop\bilibili\src\views\findPassword\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 12, 183
"c:\Users\DELL\Desktop\bilibili\src\views\home\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 29, 295
"c:\Users\DELL\Desktop\bilibili\src\views\platform\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 1, 3, 97
"c:\Users\DELL\Desktop\bilibili\src\views\platform\menu\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 3, 74
"c:\Users\DELL\Desktop\bilibili\src\views\platform\upload\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\DELL\Desktop\bilibili\src\views\space\collection\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\DELL\Desktop\bilibili\src\views\space\collector\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\DELL\Desktop\bilibili\src\views\space\dynamic\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 1303, 0, 0, 0, 0, 59, 1362
"c:\Users\DELL\Desktop\bilibili\src\views\space\home\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 436, 0, 0, 0, 0, 48, 484
"c:\Users\DELL\Desktop\bilibili\src\views\space\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 244, 0, 0, 0, 0, 24, 268
"c:\Users\DELL\Desktop\bilibili\src\views\space\tougao\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\DELL\Desktop\bilibili\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\DELL\Desktop\bilibili\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 32
"c:\Users\DELL\Desktop\bilibili\tsconfig.node.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\DELL\Desktop\bilibili\vite.config.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"Total", "-", 66, 26, 726, 3248, 13, 171, 6078, 96, 1, 11, 126, 975, 11537
