"filename", "language", "HTML", "TypeScript", "JSON with Comments", "YAML", "JSON", "CSS", "JavaScript", "Markdown", "Vue", "SCSS", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_0i6ye7uktxc\iconfont.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_w7bcvjlzt2e\demo.css", "CSS", 0, 0, 0, 0, 0, 435, 0, 0, 0, 0, 0, 0, 19, 86, 540
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_w7bcvjlzt2e\demo_index.html", "HTML", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 281
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_w7bcvjlzt2e\iconfont.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_w7bcvjlzt2e\iconfont.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\DELL\Desktop\bilibili\src\iconfont\font_4459883_w7bcvjlzt2e\iconfont.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\DELL\Desktop\bilibili\src\layout\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\DELL\Desktop\bilibili\src\layout\main\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\DELL\Desktop\bilibili\src\layout\tabbar\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 793, 0, 0, 0, 0, 49, 842
"c:\Users\DELL\Desktop\bilibili\src\main.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"c:\Users\DELL\Desktop\bilibili\src\permission.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 54
"c:\Users\DELL\Desktop\bilibili\src\router\index.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\DELL\Desktop\bilibili\src\router\route.ts", "TypeScript", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 169
"c:\Users\DELL\Desktop\bilibili\src\store\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\DELL\Desktop\bilibili\src\store\modules\style.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\DELL\Desktop\bilibili\src\store\modules\types\index.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
